name,area_mun_km2,total_focos
Nova Crixás,7293.308685856714,6.0
Nova Glória,413.1280482567742,9.0
Nova Iguaçu de Goiás,627.8490220910182,1.0
Nova Roma,2145.4597175960685,54.0
Nova Veneza,124.24954369235822,2.0
Novo Brasil,651.2460176406864,0.0
Novo Gama,192.554144446157,6.0
Novo Planalto,1243.0369528591675,0.0
Orizona,1977.6370882464219,2.0
Ouro Verde de Goiás,209.25447663930015,0.0
Ouvidor,413.98823962135907,6.0
Padre Bernardo,3142.558921213982,43.0
Palestina de Goiás,1319.9314778390735,10.0
Palmeiras de Goiás,1539.4702851715087,3.0
Palmelo,57.512891850658164,0.0
Palminópolis,387.3410890313475,7.0
Panamá,432.54454050513453,7.0
Paranaiguara,1151.6642153788823,2.0
Paraúna,3781.052529114619,17.0
Perolândia,1030.2153534526976,3.0
Petrolina de Goiás,540.4071059928875,3.0
Pilar de Goiás,909.1710281285319,1.0
Piracanjuba,2406.979105572082,15.0
Piranhas,2045.9145033354025,0.0
Pirenópolis,2196.4630518367785,6.0
Pires do Rio,1075.5687938277486,4.0
Planaltina,2544.43560788413,27.0
Pontalina,1428.296866108542,4.0
Porangatu,4821.63818349295,15.0
Porteirão,602.1019607228219,2.0
Portelândia,552.7465942991365,2.0
Posse,1956.677738512939,21.0
Professor Jamil,346.2602175670191,1.0
Quirinópolis,3784.7284048619777,7.0
Rialma,269.0344104488014,9.0
Rianápolis,159.5293853795218,0.0
Rio Quente,258.0307323567508,3.0
Rio Verde,8377.29289285385,54.0
Rubiataba,748.6132048104956,1.0
Sanclerlândia,496.6304957742564,0.0
Santa Bárbara de Goiás,139.14868319293922,2.0
Santa Cruz de Goiás,1109.921044231019,14.0
Santa Fé de Goiás,1158.476451971259,4.0
Santa Helena de Goiás,1129.9950907849081,7.0
Santa Isabel,807.0310754277225,19.0
Santa Rita do Araguaia,1364.5813114780808,2.0
Santa Rita do Novo Destino,958.1453517724821,3.0
Santa Rosa de Goiás,170.0538973947505,0.0
Santa Tereza de Goiás,794.9101051170745,0.0
Santa Terezinha de Goiás,1201.2203662649051,0.0
Santo Antônio da Barra,451.6045838937655,0.0
Santo Antônio de Goiás,132.70037951741654,0.0
Santo Antônio do Descoberto,938.4667273226031,9.0
São Domingos,3309.959287802922,31.0
São Francisco de Goiás,415.01662760040006,2.0
São João d'Aliança,3337.457271390975,32.0
São João da Paraúna,287.19849678379205,0.0
São Luís de Montes Belos,825.121722498717,1.0
São Luíz do Norte,585.9846978093348,0.0
São Miguel do Araguaia,6141.149561455853,57.0
São Miguel do Passa Quatro,536.990741969756,3.0
São Patrício,172.4782017565532,0.0
São Simão,412.64355826087694,0.0
Senador Canedo,246.470348257077,4.0
Serranópolis,5527.838860073484,13.0
Silvânia,2347.515367893763,21.0
Simolândia,349.27137865314774,1.0
Sítio d'Abadia,-1312.0807364355019,0.0
Taquaral de Goiás,201.76579989030066,0.0
Teresina de Goiás,777.9664758938231,21.0
Terezópolis de Goiás,107.43207895270287,0.0
Três Ranchos,283.5276449880709,2.0
Trindade,714.2748907859648,3.0
Trombas,798.6135836745422,5.0
Turvânia,479.6703793887864,4.0
Turvelândia,934.9434007200001,1.0
Uirapuru,1154.6165747123205,3.0
Uruaçu,2139.1802429763334,30.0
Uruana,522.8556001215104,1.0
Urutaí,627.8160657932145,1.0
Valparaíso de Goiás,60.04608501984086,2.0
Varjão,518.5492552043063,5.0
Vianópolis,954.5212834028761,2.0
Vicentinópolis,738.1975599820995,5.0
Vila Boa,1065.5074428642731,7.0
Vila Propício,2181.76141759476,33.0
